nohup: ignoring input
DEBUG:get_dataset:150:	Word Train X: torch.Size([108000, 50]) torch.int64
DEBUG:get_dataset:151:	Char Train X: torch.Size([108000, 50, 31]) torch.int64
DEBUG:get_dataset:152:	Train Y: torch.Size([108000, 50]) torch.int64
DEBUG:get_dataset:153:	Train Lengths: torch.Size([108000]) torch.float32
DEBUG:get_dataset:167:	Word Valid X: torch.Size([6000, 50]) torch.int64
DEBUG:get_dataset:168:	Char Valid X: torch.Size([6000, 50, 31]) torch.int64
DEBUG:get_dataset:169:	Valid Y: torch.Size([6000, 50]) torch.int64
DEBUG:get_dataset:170:	Valid Lengths: torch.Size([6000]) torch.float32
DEBUG:get_dataset:184:	Word Test X: torch.Size([6000, 50]) torch.int64
DEBUG:get_dataset:185:	Char Test X: torch.Size([6000, 50, 31]) torch.int64
DEBUG:get_dataset:186:	Test Y: torch.Size([6000, 50]) torch.int64
DEBUG:get_dataset:187:	Test Lengths: torch.Size([6000]) torch.float32
INFO:main:40:	Train Batches: 3375
INFO:main:41:	Valid Batches: 188
INFO:main:42:	Test Batches: 188
DEBUG:train:160:	Training Epoch: 1	Start Time: 07/26/Y, 05:06:48

  0%|          | 0/3375 [00:00<?, ?it/s]
  0%|          | 1/3375 [00:00<09:18,  6.04it/s, ms/batch:167.3 loss:9.8 ppl:1000]
  0%|          | 2/3375 [00:00<04:39, 12.05it/s, ms/batch:167.3 loss:9.8 ppl:1000]
  0%|          | 4/3375 [00:00<04:27, 12.60it/s, ms/batch:69.08 loss:9.74 ppl:1000]
  0%|          | 4/3375 [00:00<04:27, 12.59it/s, ms/batch:69.08 loss:9.74 ppl:1000]
  0%|          | 6/3375 [00:00<04:19, 13.00it/s, ms/batch:68.91 loss:9.66 ppl:1000]
  0%|          | 6/3375 [00:00<04:19, 12.99it/s, ms/batch:68.91 loss:9.66 ppl:1000]
  0%|          | 8/3375 [00:00<04:13, 13.26it/s, ms/batch:72.16 loss:9.71 ppl:1000]
  0%|          | 8/3375 [00:00<04:13, 13.26it/s, ms/batch:72.16 loss:9.71 ppl:1000]
  0%|          | 10/3375 [00:00<04:10, 13.43it/s, ms/batch:72.27 loss:9.6 ppl:1000]
  0%|          | 10/3375 [00:00<04:10, 13.42it/s, ms/batch:72.27 loss:9.6 ppl:1000]
  0%|          | 12/3375 [00:00<04:08, 13.54it/s, ms/batch:70.51 loss:9.11 ppl:1000]
  0%|          | 12/3375 [00:00<04:08, 13.54it/s, ms/batch:70.51 loss:9.11 ppl:1000]
  0%|          | 14/3375 [00:01<04:05, 13.71it/s, ms/batch:71.8 loss:8.8 ppl:1000]  
  0%|          | 14/3375 [00:01<04:05, 13.71it/s, ms/batch:71.8 loss:8.8 ppl:1000]
  0%|          | 16/3375 [00:01<04:04, 13.75it/s, ms/batch:71.35 loss:8.45 ppl:1000]
  0%|          | 16/3375 [00:01<04:04, 13.74it/s, ms/batch:71.35 loss:8.45 ppl:1000]
  1%|          | 18/3375 [00:01<04:02, 13.83it/s, ms/batch:68.83 loss:7.88 ppl:1000]
  1%|          | 18/3375 [00:01<04:02, 13.83it/s, ms/batch:68.83 loss:7.88 ppl:1000]
  1%|          | 20/3375 [00:01<04:02, 13.86it/s, ms/batch:70.46 loss:7.88 ppl:1000]
  1%|          | 20/3375 [00:01<04:02, 13.85it/s, ms/batch:70.46 loss:7.88 ppl:1000]
  1%|          | 22/3375 [00:01<04:01, 13.91it/s, ms/batch:69.19 loss:7.63 ppl:1000]
  1%|          | 22/3375 [00:01<04:01, 13.90it/s, ms/batch:69.19 loss:7.63 ppl:1000]
  1%|          | 24/3375 [00:01<03:58, 14.04it/s, ms/batch:70.59 loss:7.74 ppl:1000]
  1%|          | 24/3375 [00:01<03:58, 14.03it/s, ms/batch:70.59 loss:7.74 ppl:1000]
  1%|          | 26/3375 [00:01<03:59, 13.98it/s, ms/batch:72.85 loss:7.57 ppl:1000]
  1%|          | 26/3375 [00:01<03:59, 13.97it/s, ms/batch:72.85 loss:7.57 ppl:1000]
  1%|          | 28/3375 [00:02<03:58, 14.01it/s, ms/batch:73.24 loss:7.66 ppl:1000]
